District code,State Name,District name,Population,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,
1,JAMMU AND KASHMIR,Kupwara,870354,600759,178435,89679,1481,474190,396164,439654,282823,156831,56759,83071,762,5256,158438,23226,181664,
2,JAMMU AND KASHMIR,Badgam,753745,503223,160933,88978,611,398041,355704,335649,207741,127908,36630,90190,1999,5892,160649,27190,187839,
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,70703,41515,21019,250,78971,54516,93770,62834,30936,1645,17250,574,2150,36920,17474,54394,
4,JAMMU AND KASHMIR,Kargil,140802,87532,35561,17488,221,77785,63017,86236,56301,29935,3763,15824,235,1005,40370,7774,48144,
5,JAMMU AND KASHMIR,Punch,476835,304979,109818,61334,704,251899,224936,261724,163333,98391,31583,62900,346,3342,132139,15269,147408,
6,JAMMU AND KASHMIR,Rajouri,642415,404903,153165,83319,1028,345351,297064,364109,224469,139640,24016,96012,673,6219,196070,17508,213578,
7,JAMMU AND KASHMIR,Kathua,616435,357864,160123,97684,764,326109,290326,389204,228499,160705,21566,109422,1443,6112,181374,33473,214847,
8,JAMMU AND KASHMIR,Baramula,1008039,636524,239659,130513,1343,534733,473306,545149,337170,207979,62246,138180,3698,10645,210543,48932,259475,
9,JAMMU AND KASHMIR,Bandipore,392232,252378,90465,48802,587,207680,184552,185979,117058,68921,32882,45469,985,3155,80521,17555,98076,
10,JAMMU AND KASHMIR,Srinagar,1236829,693238,351561,190330,1700,651124,585705,748584,431746,316838,10408,165403,16413,33831,4518,257721,262239,
11,JAMMU AND KASHMIR,Ganderbal,297446,194165,66945,35911,425,158720,138726,143276,90581,52695,19312,38487,878,2779,63788,13558,77346,
12,JAMMU AND KASHMIR,Pulwama,560440,342601,137032,80111,696,293064,267376,293958,178326,115632,34080,73629,1537,5293,147520,21703,169223,
13,JAMMU AND KASHMIR,Shupiyan,266215,170086,60752,35158,219,136480,129735,136500,80355,56145,10835,35282,884,3440,75616,5272,80888,
14,JAMMU AND KASHMIR,Anantnag,1078692,704145,239988,133519,1040,559767,518925,545532,324417,221115,76364,114899,2712,8612,207067,70666,277733,
15,JAMMU AND KASHMIR,Kulgam,424483,266858,99870,57253,502,217620,206863,209085,125052,84033,29928,47913,838,3542,95952,25178,121130,
16,JAMMU AND KASHMIR,Doda,409936,263576,93189,52744,427,213641,196295,219083,138620,80463,12199,61831,596,3077,122267,11350,133617,
17,JAMMU AND KASHMIR,Ramban,283713,188526,61604,33220,363,149132,134581,124065,82938,41127,8810,34243,417,2644,84281,5341,89622,
18,JAMMU AND KASHMIR,Kishtwar,230696,145931,53415,31084,266,120165,110531,107506,68700,38806,16296,24067,274,1651,72378,5993,78371,
19,JAMMU AND KASHMIR,Udhampur,554985,339145,140785,74757,298,296784,258201,322354,197543,124811,11396,73999,1214,5744,148664,34696,183360,
20,JAMMU AND KASHMIR,Reasi,314667,203967,70767,39743,190,166461,148206,150542,93937,56605,4009,31588,602,2849,95572,12261,107833,
21,JAMMU AND KASHMIR,Jammu,1529958,816827,435895,275585,1651,813821,716137,1137135,641916,495219,36873,294739,19905,46657,254566,248043,502609,
22,JAMMU AND KASHMIR,Samba,318898,177277,88246,53022,353,169124,149774,228139,130312,97827,6105,61159,992,4465,94247,19989,114236,
23,HIMACHAL PRADESH,Chamba,519080,306555,130606,81566,353,261320,257760,323842,186064,137778,9193,96082,1615,5117,186395,13836,200231,
24,HIMACHAL PRADESH,Kangra,1510075,766581,419172,319420,4902,750591,759484,1152640,606443,546197,54849,330081,8053,22753,588321,39007,627328,
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,15928,9181,6200,255,16588,14976,21845,12897,8948,572,5618,61,252,17434,0,17434,
26,HIMACHAL PRADESH,Kullu,437903,244727,120510,72282,384,225452,212451,307672,174550,133122,12372,91322,2623,7010,167995,20709,188704,
27,HIMACHAL PRADESH,Mandi,999777,524285,279321,194661,1510,498065,501712,723747,393669,330078,15822,214491,5333,16401,431129,31696,462825,
28,HIMACHAL PRADESH,Hamirpur,454768,224044,123941,106641,142,217070,237698,358091,180555,177536,8824,104120,2521,7525,196116,15232,211348,
29,HIMACHAL PRADESH,Una,521173,273223,142351,105358,241,263692,257481,399715,213281,186434,19604,105929,2412,8238,185091,20126,205217,
30,HIMACHAL PRADESH,Bilaspur,381956,193671,107367,80497,421,192764,189192,287620,155599,132021,4138,79146,1574,6281,152458,11987,164445,
31,HIMACHAL PRADESH,Solan,580320,321533,167168,90808,811,308754,271566,428578,244372,184206,10283,119866,5250,14478,192787,51509,244296,
32,HIMACHAL PRADESH,Sirmaur,529855,310244,136839,82471,301,276289,253566,362645,205617,157028,10730,91509,2220,8593,171102,21054,192156,
33,HIMACHAL PRADESH,Shimla,814010,425721,241956,145577,756,425039,388971,612642,342846,269796,26114,172754,9177,24127,279269,95896,375165,
34,HIMACHAL PRADESH,Kinnaur,84121,42360,26599,15075,87,46249,37872,60699,36697,24002,2537,17865,354,2563,44514,0,44514,
35,PUNJAB,Gurdaspur,2298323,1261421,611353,423301,2248,1212617,1085706,1634719,907660,727059,100684,411216,14428,38445,420860,185488,606348,
36,PUNJAB,Kapurthala,815168,433331,222324,157833,1680,426311,388857,576567,316254,260313,42387,161206,9732,23145,165433,95770,261203,
37,PUNJAB,Jalandhar,2193590,1159156,616431,416449,1554,1145211,1048379,1622537,882581,739956,66664,446200,39082,79134,330339,377791,708130,
38,PUNJAB,Hoshiarpur,1586625,831741,422782,330671,1431,809057,777568,1199699,637927,561772,74362,319930,13747,34328,422673,128592,551265,
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,318597,163305,128310,2098,313291,299019,438459,239155,199304,22626,125068,5264,13936,183168,48383,231551,
40,PUNJAB,Fatehgarh Sahib,600163,321018,166781,111028,1336,320795,279368,426033,238696,187337,21389,113683,5138,14294,117559,57337,174896,
41,PUNJAB,Ludhiana,3498739,1901528,980046,614258,2907,1867816,1630923,2560225,1428348,1131877,98646,703624,58589,123400,395032,641789,1036821,
42,PUNJAB,Moga,995746,535408,258826,194768,6744,525920,469826,627889,348549,279340,82397,183396,7897,21662,214295,74144,288439,
43,PUNJAB,Firozpur,2029074,1171770,525459,331259,586,1071637,957437,1227511,707070,520441,227971,349662,10042,31070,348522,153868,502390,
44,PUNJAB,Muktsar,901896,495167,242628,162297,1804,475622,426274,524848,300401,224447,111014,166585,4571,14077,149507,74650,224157,
45,PUNJAB,Faridkot,617508,336540,164962,113721,2285,326671,290837,381285,215767,165518,54058,113549,4348,12276,99946,58917,158863,
46,PUNJAB,Bathinda,1388525,754927,377707,255283,608,743197,645328,844868,488261,356607,128382,255650,11284,32253,218159,137563,355722,
47,PUNJAB,Mansa,769751,420050,200882,146103,2716,408732,361019,423560,244037,179523,90367,140099,2673,10085,145603,50786,196389,
