District code,State Name,District name,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households
1,JAMMU AND KASHMIR,Kupwara,3019,2988,59480,1808,1445,53437,495,26828,56495,1613,8463,104172,66361,54335,104807,618,3667,167,9791,21902,2269,10919,40416,44123,11127,5030,1902,24776,6597,34882,37849,22747,1607,50339,2066
2,JAMMU AND KASHMIR,Badgam,10013,5091,66814,5848,2509,65783,1655,54170,72197,3905,3733,88806,83385,83615,98036,609,3959,971,7013,43953,1779,9208,15834,10642,699,9864,453,13064,1052,14705,33558,51358,136,73303,2321
3,JAMMU AND KASHMIR,Leh(Ladakh),609,4271,15210,1289,2646,6331,971,13597,13836,4859,371,20134,10304,18780,19387,893,920,1,14980,2117,53,695,10473,1781,64,5991,620,6115,1565,8355,10962,3031,55,6254,135
4,JAMMU AND KASHMIR,Kargil,488,1847,10895,652,899,7733,249,8008,10562,1930,575,17751,11887,17649,16646,1419,330,376,1704,4732,37,9610,6325,482,1,3289,323,2641,907,4068,9218,1963,197,10769,19
5,JAMMU AND KASHMIR,Punch,846,1731,37412,2407,1908,31773,276,16022,36358,2677,2047,78572,19789,16586,87711,762,3421,28,532,971,338,1174,69089,70470,17702,4036,12448,1351,5351,19458,33146,17078,308,43697,234
6,JAMMU AND KASHMIR,Rajouri,2203,3128,48002,7261,2542,60010,902,34209,65569,3017,3254,88623,22470,17778,121447,1669,4487,29,762,1119,864,1259,101530,104506,17991,6716,37100,2171,9574,49303,40993,18838,458,39628,269
7,JAMMU AND KASHMIR,Kathua,17726,4687,26172,23014,3065,78220,2732,66944,88964,7679,4036,94279,47372,26033,114949,2179,18841,20,1994,936,729,1615,70464,90118,8616,31020,8978,860,5595,16204,36594,52019,771,61227,3438
8,JAMMU AND KASHMIR,Baramula,13361,10075,89719,8145,4675,97257,3269,75137,107269,5337,7656,138439,121099,113281,144033,1100,4892,659,12600,45955,4803,13912,24891,28142,2813,4718,2185,14344,2618,20314,40787,78323,1167,113894,1556
9,JAMMU AND KASHMIR,Bandipore,5645,2237,36389,2284,1853,31256,585,25399,34528,1419,3922,52461,43923,42035,55995,338,2029,72,5903,22164,1625,4992,12871,13219,723,2486,2679,11725,3000,18648,18295,18131,1244,33973,839
10,JAMMU AND KASHMIR,Srinagar,44501,34586,129337,39804,12717,120553,22024,152945,157875,24605,3715,164293,164263,164002,160923,5135,2302,83,4430,39455,33799,8101,3185,2448,38,1563,55,669,317,1105,7457,157176,64,164426,692
11,JAMMU AND KASHMIR,Ganderbal,6005,2313,29047,2709,1997,24498,663,20350,27786,1291,3794,39831,33167,31492,42382,308,1879,174,3569,15127,207,3759,10082,10107,151,1433,1789,3097,497,5923,11294,25368,540,35518,569
12,JAMMU AND KASHMIR,Pulwama,5479,6164,51973,4551,1770,57529,1478,45967,65162,5863,3568,71921,61749,53836,80452,459,3940,680,5829,11679,664,4826,19492,25493,212,13347,660,8108,929,10127,19320,50893,430,56749,3413
13,JAMMU AND KASHMIR,Shupiyan,1636,3634,30191,4656,1494,29737,730,19896,33786,2555,2392,39555,33535,25628,41503,265,1382,13,5798,1255,256,6424,8412,14426,217,3441,392,5395,967,6900,12986,19888,146,30968,778
14,JAMMU AND KASHMIR,Anantnag,6295,7846,81666,5541,3687,91482,2042,67166,102683,7514,6650,137410,98110,80917,140994,1149,5789,82,15704,23143,5495,11484,44877,51493,1024,12424,2531,19048,2564,25349,40538,71259,1206,103058,2010
15,JAMMU AND KASHMIR,Kulgam,1853,2421,42026,3318,1387,46828,557,25825,49605,1390,3194,66620,40973,31048,68472,405,2742,41,6826,7578,687,4904,28230,34785,354,3743,1846,11749,1937,15749,26440,23503,217,48856,640
16,JAMMU AND KASHMIR,Doda,563,1804,24106,1550,1265,44395,497,19244,47031,1371,1308,76597,26716,23060,76189,1997,2424,4,1480,2368,2200,2539,51904,54409,2915,202,4545,978,2063,7847,35304,25054,261,66002,60
17,JAMMU AND KASHMIR,Ramban,214,958,18397,612,1028,25175,145,8110,27216,1013,1143,51469,13135,10892,53377,455,1756,31,428,499,172,1225,41071,41793,3588,270,12201,1867,1721,16266,23687,12889,477,33094,42
18,JAMMU AND KASHMIR,Kishtwar,439,850,16289,1533,497,16097,350,9281,17702,1108,1453,42978,12609,10761,43840,463,1120,1,1214,3071,1109,921,31908,33057,930,297,2412,3918,2179,8649,18814,10867,140,34280,82
19,JAMMU AND KASHMIR,Udhampur,3948,3800,30146,8953,1459,56859,2075,37323,64858,6540,1832,67792,21542,18063,90329,2544,3121,21,479,350,298,796,72020,74546,9401,4742,21428,1825,5848,29883,36891,21585,782,47796,166
20,JAMMU AND KASHMIR,Reasi,1340,1878,18452,3551,848,26081,734,13645,28783,1854,793,45425,11155,8334,52218,1415,2168,6,238,208,167,548,43637,45939,4765,1279,8665,809,3763,14067,24500,12843,830,33866,25
21,JAMMU AND KASHMIR,Jammu,68272,44063,76236,113156,20542,179925,32191,240478,241206,40739,12552,246479,231365,162522,274859,18255,70235,141,7537,6826,6356,7618,70651,134732,6884,117098,1716,671,3680,7748,46394,233123,1681,168693,8076
22,JAMMU AND KASHMIR,Samba,13653,4093,12466,17664,2587,43895,1936,47611,50736,4254,1863,47597,43562,20650,60716,1646,20487,53,1464,623,572,642,19255,41899,3488,25438,142,204,532,1498,13359,42707,620,32061,2009
23,HIMACHAL PRADESH,Chamba,1657,5074,25935,8880,2362,64850,2391,62233,73995,6783,2207,92819,46292,52553,94367,6546,5918,4,9420,365,267,959,55680,48216,131,1031,1834,371,1749,4108,55088,36220,154,96451,9
24,HIMACHAL PRADESH,Kangra,38456,22727,74758,69192,27803,203232,12858,272579,274180,43145,4856,299890,229975,220258,314828,16832,29333,43,30433,445,286,5386,106432,113703,4712,18358,1441,237,3377,5699,105689,200604,644,301016,1716
25,HIMACHAL PRADESH,Lahul AND Spiti,108,536,2489,564,452,3100,78,4938,4995,1443,53,6448,4946,5232,5037,1224,313,3,1547,39,5,2222,1749,1370,1,339,46,78,101,225,4036,1719,0,6123,0
26,HIMACHAL PRADESH,Kullu,2450,8479,21750,6979,2271,68134,3454,66910,79454,9049,1117,90542,66129,55831,80610,12616,9243,15,7476,173,77,773,29416,38489,568,1753,794,610,2918,4773,38399,46354,451,87848,271
27,HIMACHAL PRADESH,Mandi,10927,15958,53382,26366,21431,119439,8055,157314,172205,31335,3472,196933,175038,181985,205510,11024,12209,39,25021,209,85,3049,44956,35509,1899,1860,470,455,2854,4828,84301,123062,1049,209375,142
28,HIMACHAL PRADESH,Hamirpur,7094,6665,23628,16955,16840,53918,3438,86324,90286,19528,1011,94440,86909,93858,99538,4452,4844,21,12913,44,26,3731,18159,10386,1443,5691,91,22,353,606,29624,69696,140,94807,208
29,HIMACHAL PRADESH,Una,41378,8059,19820,36913,7736,70217,5342,88894,90729,12776,1874,92378,87268,66103,101443,5195,17728,38,5799,128,109,1958,22431,42761,2205,11627,78,48,353,607,30021,71588,128,93873,2419
30,HIMACHAL PRADESH,Bilaspur,5387,6573,14900,11397,7650,47001,2779,61392,66935,12284,1046,58346,61113,56814,75560,4092,3495,20,10025,60,54,1161,19340,22867,2143,5617,513,43,1663,2978,28605,42589,759,67847,477
31,HIMACHAL PRADESH,Solan,12426,15117,38632,25275,10150,76524,7887,94692,108699,22025,2195,109878,105861,90587,86649,31305,5651,53,5298,208,173,2039,17492,30436,2249,6105,1683,472,5371,8674,35692,74848,1148,103964,3148
32,HIMACHAL PRADESH,Sirmaur,16691,7459,26363,17523,5229,62390,3852,58902,75406,7787,2511,76236,74088,60246,83947,10156,7172,51,2437,1814,1733,1245,23002,35731,2064,8795,1993,1297,3558,7958,40315,39659,1110,75607,1045
33,HIMACHAL PRADESH,Shimla,2813,23107,70807,8186,6859,125896,10363,131450,161675,28920,3690,160066,153356,123535,126522,44241,11414,36,8198,290,245,1572,27414,52807,2187,1382,1051,1134,4795,8370,58532,102066,1390,166551,70
34,HIMACHAL PRADESH,Kinnaur,190,2775,6453,857,923,12885,611,12925,16468,2660,194,16851,13902,13521,13926,4511,1452,2,1405,165,9,1016,5633,5715,42,130,282,174,561,1115,6083,11752,98,17996,86
35,PUNJAB,Gurdaspur,280874,32484,49368,194705,50731,235958,26895,365644,336075,49386,34047,405686,360051,258924,409745,14231,130717,115,29227,6935,4875,6987,71161,167226,1572,298315,235,347,3352,4082,30846,393314,148,124910,89511
36,PUNJAB,Kapurthala,107044,23561,37410,90508,10324,110664,18981,144945,145116,24128,8913,159033,149071,137713,141816,18924,21714,261,19041,682,583,2893,16265,26372,85,75439,42,119,1897,2111,14783,145612,53,87546,42939
37,PUNJAB,Jalandhar,286365,72374,132632,238203,32474,283455,65696,401189,395069,79140,24899,436790,422876,392909,378807,61615,45285,341,36718,2153,1385,8133,31197,58400,280,151053,135,113,4639,4947,35640,409159,60,297183,80682
38,PUNJAB,Hoshiarpur,227316,33720,62295,166862,24372,194786,27207,285904,278411,59253,20255,310810,285730,210621,303081,17651,70856,118,25818,1753,633,4006,43964,116787,1721,145269,101,125,4106,4460,37705,278909,128,177302,52828
39,PUNJAB,Shahid Bhagat Singh Nagar,91772,14456,27564,64143,12153,72838,10295,109258,110382,25391,7238,123000,115870,90711,118149,6692,21708,45,10891,514,289,2605,12764,36851,153,63343,40,96,2345,2550,11541,112136,69,62350,28107
40,PUNJAB,Fatehgarh Sahib,84834,18239,13863,63700,6773,75475,11551,98080,98401,16153,6665,109623,104467,99858,101426,11510,12800,56,16989,724,603,4257,11286,14898,81,68438,21,75,2699,2829,8403,104951,34,44186,47359
41,PUNJAB,Ludhiana,461137,120172,121375,360662,57191,433701,101595,604959,606726,115834,41268,689982,669232,667902,570487,127020,64464,368,109817,4174,2601,23996,46872,41470,559,269706,208,310,5851,6585,43609,660590,216,438455,127188
42,PUNJAB,Moga,140084,26253,31170,85167,10114,123059,15888,152610,155841,22668,13868,177546,171503,167596,178205,9104,37136,221,60174,1257,770,14816,19725,22074,185,91646,66,209,6865,7339,25433,151928,199,91608,71851
43,PUNJAB,Firozpur,237901,37105,48714,148610,14135,241473,22046,277615,290671,35063,36458,354657,303760,274015,344538,17695,89728,245,103829,5092,4163,18247,70407,95696,602,196377,90,3947,8539,13729,55030,286759,1153,161386,47667
44,PUNJAB,Muktsar,109666,23185,27409,62205,5945,110506,10160,130482,135144,18693,17701,165332,152188,133635,159581,9169,47771,129,62708,467,320,5073,20604,37841,187,72452,50,1632,3314,5201,27435,125869,205,94584,2897
45,PUNJAB,Faridkot,82761,15528,16469,51638,5047,74148,9745,93053,95758,16563,9288,112702,107033,99988,109071,6142,25424,113,37614,1039,873,4118,11160,17282,81,65489,17,1163,2150,3357,11352,95315,27,48872,11685
46,PUNJAB,Bathinda,176384,36173,43415,106010,11356,174630,24238,204051,215302,29316,17698,256617,241449,232629,235988,21224,55818,169,130895,919,545,10046,24586,26191,320,105388,62,1530,5164,8012,39408,211601,1256,151659,43730
47,PUNJAB,Mansa,90845,12805,13053,48117,5059,96462,6347,102314,111889,10368,10246,123826,128019,99571,140422,4905,34108,57,54458,1083,502,7363,19108,41129,93,69458,45,1205,4032,5390,23021,108275,108,71808,25087
48,PUNJAB,Patiala,253101,57008,59162,193945,19894,241577,46072,308440,303548,42077,21277,342661,327085,309524,325608,28546,34749,178,67168,3079,2101,17631,34655,48546,361,144431,84,213,8370,8828,39120,306941,161,207661,119054
49,PUNJAB,Amritsar,286368,56185,71084,225063,26625,313792,49521,413460,379572,39155,31025,458184,430958,379230,430041,41576,102374,196,43459,5843,4725,10552,49345,96836,291,253217,99,255,7144,7674,26122,447498,176,218410,127669
50,PUNJAB,Tarn Taran,134781,15885,35906,86013,7888,141814,8049,162147,155842,6140,15981,188469,160573,136239,193712,5099,60940,189,44155,1753,997,10387,40474,63108,209,167519,31,154,5204,5427,14823,180712,38,27408,74177
51,PUNJAB,Rupnagar,95548,17248,18003,72313,9268,85617,13714,111937,114425,19540,7652,124576,114310,88385,114943,14317,19499,45,10500,489,337,2645,18544,42740,3524,45581,199,218,1544,2047,17770,107694,86,80769,16514
